Timestamp,Disease,Split_Salt,K,Best_Features,Formula,Baseline_AUC_PR,Baseline_AUC_ROC
2026-05-26 01:29:31,crhn,,12,"mcv,plt,rdw,wbc,baso_pct,neut_pct,lym_pct,hct,eos_pct,rbc,mchc,hgb",logit(p) = -0.2283 - (0.0853 * mcv) + (0.0043 * plt) + (0.0086 * rdw) - (0.0626 * wbc) - (0.4319 * baso_pct) + (0.0165 * neut_pct) + (0.0086 * lym_pct) + (0.1051 * hct) + (0.0677 * eos_pct) - (1.1338 * rbc) + (0.1731 * mchc) + (0.0830 * hgb),0.0179,0.605
2026-05-26 01:29:31,crhn,,13,"mcv,plt,rdw,wbc,baso_pct,neut_pct,lym_pct,hct,eos_pct,rbc,mchc,hgb,mch",logit(p) = 0.0098 - (0.2146 * mcv) + (0.0046 * plt) + (0.0126 * rdw) - (0.0591 * wbc) - (0.3869 * baso_pct) + (0.0190 * neut_pct) + (0.0119 * lym_pct) + (0.1737 * hct) + (0.0688 * eos_pct) + (0.8170 * rbc) - (0.0832 * mchc) - (0.7690 * hgb) + (0.6490 * mch),0.0181,0.6124
2026-05-26 01:29:31,crhn,,14,"mcv,plt,rdw,wbc,baso_pct,neut_pct,lym_pct,hct,eos_pct,rbc,mchc,hgb,mch,mono_pct",logit(p) = 0.0382 - (0.1757 * mcv) + (0.0047 * plt) + (0.0063 * rdw) - (0.0697 * wbc) - (0.3199 * baso_pct) - (0.0092 * neut_pct) - (0.0142 * lym_pct) + (0.1755 * hct) + (0.0518 * eos_pct) + (0.8990 * rbc) + (0.0143 * mchc) - (0.8089 * hgb) + (0.5358 * mch) - (0.1061 * mono_pct),0.0183,0.6532
2026-05-26 01:30:25,t2d,,1,mono_pct,logit(p) = 0.6733 - (0.1136 * mono_pct),0.1356,0.6142
2026-05-26 01:30:25,t2d,,2,"mcv,mono_pct",logit(p) = 2.8588 - (0.0244 * mcv) - (0.1118 * mono_pct),0.1453,0.6225
2026-05-26 01:30:25,t2d,,3,"neut_pct,lym_pct,eos_pct",logit(p) = -3.5014 + (0.0386 * neut_pct) + (0.0334 * lym_pct) + (0.0586 * eos_pct),0.1483,0.6169
2026-05-26 01:30:25,t2d,,4,"mch,neut_pct,lym_pct,eos_pct",logit(p) = -2.9270 - (0.0188 * mch) + (0.0384 * neut_pct) + (0.0333 * lym_pct) + (0.0581 * eos_pct),0.149,0.6133
2026-05-26 01:30:25,t2d,,5,"mch,plt,neut_pct,lym_pct,eos_pct",logit(p) = -2.9221 - (0.0189 * mch) - (0.0000 * plt) + (0.0385 * neut_pct) + (0.0333 * lym_pct) + (0.0581 * eos_pct),0.1491,0.6133
2026-05-26 01:30:25,t2d,,6,"mch,plt,neut_pct,lym_pct,eos_pct,hct",logit(p) = -2.8166 - (0.0184 * mch) + (0.0000 * plt) + (0.0388 * neut_pct) + (0.0338 * lym_pct) + (0.0586 * eos_pct) - (0.0048 * hct),0.1493,0.6141
2026-05-26 01:30:25,t2d,,7,"mch,plt,neut_pct,lym_pct,eos_pct,hct,mchc",logit(p) = -7.2900 - (0.0782 * mch) + (0.0002 * plt) + (0.0351 * neut_pct) + (0.0279 * lym_pct) + (0.0587 * eos_pct) - (0.0072 * hct) + (0.2017 * mchc),0.1578,0.6159
