formula,auc_roc,auc_pr,precision,recall,f1,f2,precision_at_recall_25,precision_at_recall_50,precision_at_recall_75,num_features
((((((((log(abs(hct)+1)) + (mchc)) * (mch)) * (plt)) + ((rbc**2))) - (sqrt(abs(hgb)))) + ((rdw**2))) * (log(abs(mcv)+1))) / (abs(sqrt(abs(wbc)))+1e-6),0.6221,0.017,0.0165,0.5563,0.0321,0.0739,0.0213,0.0166,0.0136,9
(((((mchc) + ((mch**2))) * (plt)) + ((rdw**2))) - (sqrt(abs(hgb)))) / (abs(hct)+1e-6),0.634,0.017,0.0166,0.6219,0.0324,0.0751,0.0179,0.0178,0.0136,6
((((((log(abs(hgb)+1)) * (sqrt(abs(hct)))) / (abs(sqrt(abs(mchc)))+1e-6)) - (mcv)) - ((rdw**2))) * (log(abs(mch)+1))) / (abs(sqrt(abs(plt)))+1e-6),0.6039,0.017,0.0168,0.45,0.0324,0.073,0.0188,0.0155,0.0125,7
((((((mchc) / (abs(hct)+1e-6)) / (abs((rdw**2))+1e-6)) / (abs(mcv)+1e-6)) / (abs(rbc)+1e-6)) * ((plt**2))) + (sqrt(abs(hgb))),0.6154,0.017,0.0164,0.4844,0.0317,0.0722,0.0208,0.0167,0.0126,7
((((sqrt(abs(wbc))) * (sqrt(abs(rbc)))) + (hct)) / (abs(log(abs(plt)+1))+1e-6)) / (abs((mchc**2))+1e-6),0.6428,0.017,0.016,0.6937,0.0314,0.0734,0.0182,0.0181,0.0149,5
((sqrt(abs(plt))) * (mchc)) - (log(abs(mch)+1)),0.6276,0.0169,0.0178,0.5188,0.0344,0.0782,0.0182,0.0175,0.0139,3
(((((((((wbc**2)) / (abs((hct**2))+1e-6)) + (mch)) * ((mchc**2))) * (sqrt(abs(plt)))) - (mcv)) + (log(abs(rbc)+1))) * (sqrt(abs(rdw)))) / (abs(sqrt(abs(hgb)))+1e-6),0.6408,0.0169,0.0171,0.5625,0.0333,0.0764,0.0196,0.017,0.0145,9
((((sqrt(abs(mch))) * (plt)) / (abs(log(abs(rbc)+1))+1e-6)) / (abs(rdw)+1e-6)) + (sqrt(abs(mchc))),0.6231,0.0169,0.0159,0.6469,0.0311,0.0724,0.0183,0.0165,0.0132,5
(((((((mch**2)) / (abs(log(abs(rbc)+1))+1e-6)) * (sqrt(abs(plt)))) - ((hct**2))) / (abs(mcv)+1e-6)) * (log(abs(rdw)+1))) + (sqrt(abs(hgb))),0.635,0.0169,0.016,0.6312,0.0312,0.0726,0.0195,0.0171,0.0138,7
((sqrt(abs(mch))) - (log(abs(wbc)+1))) * (sqrt(abs(plt))),0.6213,0.0169,0.0165,0.4406,0.0319,0.0719,0.0196,0.0162,0.0135,3
((((((((wbc**2)) * (mch)) / (abs(log(abs(mcv)+1))+1e-6)) + (log(abs(mchc)+1))) + ((hct**2))) / (abs(sqrt(abs(rbc)))+1e-6)) / (abs((plt**2))+1e-6)) / (abs(log(abs(hgb)+1))+1e-6),0.6228,0.0169,0.0159,0.525,0.0309,0.071,0.0195,0.0155,0.0136,8
((((((hgb) / (abs(mch)+1e-6)) / (abs(sqrt(abs(mcv)))+1e-6)) + (sqrt(abs(rdw)))) + ((mchc**2))) * ((plt**2))) / (abs(wbc)+1e-6),0.6178,0.0169,0.0166,0.4844,0.0321,0.073,0.0199,0.0156,0.0134,7
((mchc) * (sqrt(abs(plt)))) - (sqrt(abs(hct))),0.628,0.0169,0.0178,0.5156,0.0344,0.0782,0.0183,0.0176,0.0139,3
(((log(abs(mcv)+1)) / (abs(log(abs(mch)+1))+1e-6)) - (plt)) * ((mchc**2)),0.6275,0.0169,0.0178,0.5156,0.0345,0.0783,0.0182,0.0175,0.0139,4
((((((((log(abs(mcv)+1)) - (sqrt(abs(mchc)))) / (abs((hgb**2))+1e-6)) / (abs(sqrt(abs(wbc)))+1e-6)) * (plt)) / (abs(log(abs(hct)+1))+1e-6)) * (log(abs(rdw)+1))) * (log(abs(rbc)+1))) * ((mch**2)),0.6345,0.0169,0.0155,0.6469,0.0304,0.0709,0.0207,0.0174,0.0145,9
((((rdw) * ((mcv**2))) / (abs((mchc**2))+1e-6)) + (log(abs(mch)+1))) * (log(abs(rbc)+1)),0.6008,0.0169,0.016,0.4469,0.031,0.0701,0.0185,0.0151,0.0127,5
