formula,auc_roc,auc_pr,precision,recall,f1,f2,precision_at_recall_25,precision_at_recall_50,precision_at_recall_75,num_features
(((((((((((((neut_pct) - (mch)) + (sqrt(abs(lym_pct)))) - (hct)) / (abs(sqrt(abs(mono_pct)))+1e-6)) - (log(abs(baso_pct)+1))) + (log(abs(mcv)+1))) + ((rbc**2))) - ((plt**2))) + (mchc)) + (sqrt(abs(eos_pct)))) + (sqrt(abs(rdw)))) * (sqrt(abs(wbc)))) * (hgb),0.5615,0.0146,0.0048,0.4074,0.0095,0.0229,0.0052,0.0033,0.0033,14
(((rdw**2)) / (abs(sqrt(abs(mono_pct)))+1e-6)) * ((mchc**2)),0.604,0.0144,0.0049,0.6296,0.0098,0.0239,0.0069,0.0052,0.004,3
(((((((neut_pct) - (hct)) * (log(abs(plt)+1))) / (abs(sqrt(abs(mono_pct)))+1e-6)) + (sqrt(abs(baso_pct)))) + (mcv)) * (sqrt(abs(mch)))) * (wbc),0.5183,0.0143,0.0075,0.1852,0.0143,0.0321,0.0052,0.0033,0.0034,8
(((((mono_pct**2)) + ((eos_pct**2))) + (log(abs(hgb)+1))) + (neut_pct)) * (mcv),0.6656,0.0142,0.0048,0.6667,0.0095,0.0233,0.0101,0.0059,0.0045,5
((((((((((((mono_pct) * (log(abs(mchc)+1))) / (abs((wbc**2))+1e-6)) / (abs(log(abs(mcv)+1))+1e-6)) / (abs(log(abs(hct)+1))+1e-6)) - (sqrt(abs(plt)))) * (sqrt(abs(hgb)))) - ((mch**2))) * (sqrt(abs(rbc)))) + ((rdw**2))) * ((baso_pct**2))) - (sqrt(abs(neut_pct)))) - (lym_pct),0.5309,0.0142,0.0036,0.4815,0.0072,0.0175,0.0049,0.0038,0.0033,13
(((((((((((((baso_pct**2)) / (abs(plt)+1e-6)) - (log(abs(mchc)+1))) * (log(abs(hgb)+1))) * (hct)) + (sqrt(abs(rbc)))) + (mch)) - (lym_pct)) / (abs((wbc**2))+1e-6)) - (sqrt(abs(neut_pct)))) - ((mono_pct**2))) * (sqrt(abs(rdw)))) + (sqrt(abs(eos_pct))),0.6058,0.0141,0.0051,0.7037,0.0102,0.025,0.005,0.0062,0.0041,13
(((((hgb**2)) * ((rdw**2))) / (abs(mono_pct)+1e-6)) / (abs(sqrt(abs(mch)))+1e-6)) + (log(abs(mchc)+1)),0.5905,0.014,0.0042,0.6296,0.0084,0.0205,0.0063,0.0043,0.0039,5
((((((((((((log(abs(eos_pct)+1)) + (log(abs(lym_pct)+1))) / (abs(sqrt(abs(hct)))+1e-6)) / (abs(hgb)+1e-6)) * (rbc)) - ((baso_pct**2))) - (sqrt(abs(mcv)))) + ((mchc**2))) * (rdw)) + (log(abs(mch)+1))) / (abs(log(abs(neut_pct)+1))+1e-6)) / (abs(sqrt(abs(mono_pct)))+1e-6)) + ((wbc**2)),0.5923,0.014,0.0039,0.7037,0.0077,0.019,0.0061,0.0057,0.004,13
(((((((wbc) + (mch)) / (abs(mono_pct)+1e-6)) / (abs(log(abs(plt)+1))+1e-6)) * (hgb)) + (sqrt(abs(neut_pct)))) / (abs((eos_pct**2))+1e-6)) - (sqrt(abs(mcv))),0.576,0.0139,0.0044,0.7407,0.0088,0.0216,0.0041,0.0042,0.004,8
((((((((((sqrt(abs(lym_pct))) - ((neut_pct**2))) - (rdw)) + ((wbc**2))) / (abs((mchc**2))+1e-6)) / (abs(sqrt(abs(eos_pct)))+1e-6)) + (log(abs(rbc)+1))) - ((mch**2))) / (abs((mcv**2))+1e-6)) + (hct)) / (abs(sqrt(abs(mono_pct)))+1e-6),0.6065,0.0139,0.005,0.4815,0.0099,0.0241,0.0034,0.0054,0.004,11
((((((((((((wbc) - (sqrt(abs(mcv)))) - ((mchc**2))) / (abs(log(abs(hct)+1))+1e-6)) - (log(abs(lym_pct)+1))) - (plt)) - (log(abs(hgb)+1))) + (sqrt(abs(eos_pct)))) * ((mch**2))) * (sqrt(abs(mono_pct)))) * (log(abs(baso_pct)+1))) + (log(abs(rbc)+1))) + (rdw),0.5923,0.0138,0.0051,0.7037,0.0102,0.0249,0.004,0.0051,0.0039,13
(((((((((wbc**2)) / (abs((rbc**2))+1e-6)) + (sqrt(abs(baso_pct)))) / (abs((plt**2))+1e-6)) - ((mono_pct**2))) / (abs(log(abs(mchc)+1))+1e-6)) / (abs((eos_pct**2))+1e-6)) + ((neut_pct**2))) + (sqrt(abs(lym_pct))),0.5582,0.0137,0.0046,0.3333,0.0092,0.022,0.0046,0.0046,0.0038,9
((((((((((sqrt(abs(rdw))) * ((baso_pct**2))) * (rbc)) - (log(abs(mono_pct)+1))) + (sqrt(abs(lym_pct)))) / (abs((mcv**2))+1e-6)) / (abs((eos_pct**2))+1e-6)) * (hgb)) / (abs(log(abs(mch)+1))+1e-6)) + ((hct**2))) + (wbc),0.5783,0.0137,0.004,0.5185,0.0079,0.0193,0.0044,0.0039,0.0041,11
