formula,auc_roc,auc_pr,precision,recall,f1,f2,precision_at_recall_25,precision_at_recall_50,precision_at_recall_75,num_features
((((((((sqrt(abs(hct))) + (rdw)) + (sqrt(abs(wbc)))) - (log(abs(mcv)+1))) * (sqrt(abs(mch)))) + (plt)) - ((hgb**2))) + ((mchc**2))) - (log(abs(rbc)+1)),0.6695,0.0207,0.0155,0.7067,0.0302,0.0711,0.02,0.0176,0.0143,9
(sqrt(abs(plt))) / (abs(sqrt(abs(mcv)))+1e-6),0.6301,0.0207,0.0137,0.6078,0.0268,0.0629,0.0218,0.0146,0.013,2
((((((((rbc**2)) * (wbc)) * ((mch**2))) + (hgb)) * ((rdw**2))) / (abs((plt**2))+1e-6)) + (sqrt(abs(mchc)))) * (hct),0.6067,0.0207,0.0136,0.4664,0.0264,0.0608,0.0185,0.014,0.0117,8
(mcv) / (abs(plt)+1e-6),0.6301,0.0207,0.0137,0.6078,0.0268,0.0629,0.0218,0.0146,0.013,2
((((plt**2)) + (sqrt(abs(mchc)))) / (abs((mcv**2))+1e-6)) - (log(abs(mch)+1)),0.6291,0.0207,0.0138,0.5936,0.0271,0.0633,0.0218,0.0145,0.0129,4
((((((((hct) + (mchc)) + (log(abs(hgb)+1))) + (sqrt(abs(wbc)))) - (sqrt(abs(rdw)))) / (abs(sqrt(abs(plt)))+1e-6)) * (sqrt(abs(rbc)))) + (sqrt(abs(mch)))) + (sqrt(abs(mcv))),0.6104,0.0207,0.0135,0.583,0.0263,0.0616,0.0175,0.0143,0.012,9
((((((rdw) + (log(abs(hct)+1))) * (log(abs(mch)+1))) * ((mchc**2))) * (plt)) + (log(abs(rbc)+1))) - (log(abs(wbc)+1)),0.6457,0.0207,0.0159,0.5548,0.0309,0.0713,0.0193,0.0157,0.0135,7
((((((hgb) + (mchc)) / (abs(sqrt(abs(rbc)))+1e-6)) / (abs(mch)+1e-6)) + ((plt**2))) / (abs(sqrt(abs(rdw)))+1e-6)) / (abs((mcv**2))+1e-6),0.6302,0.0207,0.0138,0.6184,0.0271,0.0635,0.0234,0.0149,0.013,7
((plt**2)) / (abs((mcv**2))+1e-6),0.6301,0.0207,0.0137,0.6078,0.0268,0.0629,0.0218,0.0146,0.013,2
(((((((wbc**2)) - ((plt**2))) - ((mchc**2))) - (sqrt(abs(hgb)))) * (log(abs(rbc)+1))) + ((mcv**2))) / (abs((hct**2))+1e-6),0.6325,0.0207,0.0147,0.5194,0.0287,0.0662,0.0212,0.0153,0.0124,7
((((((((mcv) * (sqrt(abs(hct)))) + (sqrt(abs(wbc)))) - (log(abs(hgb)+1))) * (sqrt(abs(mch)))) / (abs(plt)+1e-6)) / (abs(log(abs(rbc)+1))+1e-6)) * (mchc)) + (log(abs(rdw)+1)),0.6152,0.0207,0.0144,0.4099,0.0278,0.0631,0.0206,0.0141,0.0122,9
((((((sqrt(abs(mchc))) * (log(abs(rbc)+1))) + (mch)) + (log(abs(wbc)+1))) / (abs(sqrt(abs(hct)))+1e-6)) - (plt)) / (abs(mcv)+1e-6),0.6297,0.0206,0.0136,0.6042,0.0267,0.0626,0.0219,0.0146,0.013,7
(((((((mcv) * (log(abs(wbc)+1))) / (abs(log(abs(hgb)+1))+1e-6)) * (sqrt(abs(mch)))) * (rbc)) / (abs(plt)+1e-6)) * (sqrt(abs(mchc)))) * ((rdw**2)),0.6141,0.0206,0.0146,0.4452,0.0283,0.0646,0.0193,0.0148,0.0123,8
((((mcv**2)) - (log(abs(mchc)+1))) / (abs(plt)+1e-6)) + ((rbc**2)),0.6358,0.0206,0.0152,0.5406,0.0295,0.0682,0.0211,0.016,0.0128,4
((((sqrt(abs(mchc))) + ((mcv**2))) / (abs(log(abs(plt)+1))+1e-6)) / (abs(log(abs(mch)+1))+1e-6)) + ((rbc**2)),0.6235,0.0206,0.0151,0.5053,0.0293,0.0674,0.02,0.016,0.0125,5
(((((sqrt(abs(rbc))) - ((mch**2))) * (sqrt(abs(hct)))) * (sqrt(abs(mcv)))) + (hgb)) / (abs(sqrt(abs(plt)))+1e-6),0.5968,0.0206,0.0133,0.4841,0.0259,0.0599,0.0175,0.0135,0.0117,6
(((mcv**2)) / (abs((mch**2))+1e-6)) / (abs(sqrt(abs(plt)))+1e-6),0.654,0.0206,0.0169,0.5336,0.0329,0.0752,0.0195,0.017,0.0138,3
((((log(abs(mchc)+1)) * (sqrt(abs(hct)))) - (mcv)) + (sqrt(abs(rbc)))) / (abs(plt)+1e-6),0.6292,0.0206,0.0144,0.4382,0.0279,0.0636,0.0218,0.015,0.0129,5
((((((hct**2)) / (abs(sqrt(abs(wbc)))+1e-6)) + ((mch**2))) + (sqrt(abs(mcv)))) * ((hgb**2))) / (abs((plt**2))+1e-6),0.613,0.0205,0.0146,0.4841,0.0283,0.065,0.0178,0.0151,0.0118,6
(((((mcv**2)) - ((rdw**2))) - (wbc)) - (sqrt(abs(hct)))) / (abs(sqrt(abs(plt)))+1e-6),0.626,0.0205,0.0138,0.5972,0.027,0.0633,0.0201,0.0149,0.0132,5
(((mchc) / (abs(hct)+1e-6)) * ((plt**2))) + (log(abs(rdw)+1)),0.6373,0.0205,0.0149,0.4664,0.0289,0.0661,0.0206,0.0153,0.0129,4
(((((((log(abs(mch)+1)) * (rbc)) * (log(abs(hgb)+1))) / (abs(log(abs(mchc)+1))+1e-6)) - (log(abs(wbc)+1))) - ((mcv**2))) * (rdw)) / (abs((plt**2))+1e-6),0.6298,0.0205,0.0149,0.3993,0.0288,0.065,0.0237,0.0151,0.013,8
((log(abs(plt)+1)) * (log(abs(mchc)+1))) - (log(abs(mcv)+1)),0.6431,0.0205,0.0158,0.4912,0.0306,0.0699,0.0221,0.0165,0.0134,3
((((((((sqrt(abs(rbc))) + (log(abs(wbc)+1))) / (abs(hct)+1e-6)) - (rdw)) * ((mcv**2))) / (abs(log(abs(hgb)+1))+1e-6)) * (mch)) * (log(abs(mchc)+1))) / (abs((plt**2))+1e-6),0.6235,0.0205,0.0142,0.424,0.0275,0.0627,0.0237,0.0145,0.0127,9
